fid,id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"393","2892070",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1990",Deutschland Namensnennung 2.0,Land Berlin
"394","2892608",Acer,Spitz-Ahorn,Acer platanoides,"3","12",,Deutschland Namensnennung 2.0,Land Berlin
"395","2892610",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7",,Deutschland Namensnennung 2.0,Land Berlin
"396","2865913",Malus,Holz-Apfel,Malus sylvestris,"5","3",,Deutschland Namensnennung 2.0,Land Berlin
"397","2865919",Prunus,,Prunus avium,"6","3",,Deutschland Namensnennung 2.0,Land Berlin
"398","2868749",Populus,Berliner Pappel,Populus berolinensis,"15","27","1970",Deutschland Namensnennung 2.0,Land Berlin
"399","2869759",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"400","2872684",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","7","1999",Deutschland Namensnennung 2.0,Land Berlin
"401","2877613",Acer,Spitz-Ahorn,Acer platanoides,"5","10","1960",Deutschland Namensnennung 2.0,Land Berlin
"402","2877617",Populus,,Populus x canadensis Hybride,"6","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"403","2877635",Populus,,Populus x canadensis Hybride,"5","12","1950",Deutschland Namensnennung 2.0,Land Berlin
"404","2877877",Populus,,Populus x canadensis Hybride,"5","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"405","2877882",Sorbus,Gewöhnliche Mehlbeere,Sorbus aria,"4","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"406","2877883",Sorbus,Gewöhnliche Mehlbeere,Sorbus aria,"4","7","1997",Deutschland Namensnennung 2.0,Land Berlin
"407","3263590",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"408","3264053",Acer,Eschen-Ahorn,Acer negundo,"6","10","1937",Deutschland Namensnennung 2.0,Land Berlin
"409","3264392",Magnolia,Kobushi-Magnolie,Magnolia kobus,"1","7","2013",Deutschland Namensnennung 2.0,Land Berlin
"410","3264766",Acer,Spitz-Ahorn,Acer platanoides,,"12","2003",Deutschland Namensnennung 2.0,Land Berlin
"411","3264768",Acer,Spitz-Ahorn,Acer platanoides,"3","7","2003",Deutschland Namensnennung 2.0,Land Berlin
"412","3265733",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"4","12","1993",Deutschland Namensnennung 2.0,Land Berlin
"413","3267274",Acer,Silber-Ahorn,Acer saccharinum,"15","20","1965",Deutschland Namensnennung 2.0,Land Berlin
"414","3267960",Quercus,Rot-Eiche,Quercus rubra,"5","20","1999",Deutschland Namensnennung 2.0,Land Berlin
"415","3268464",Juglans,Walnuss,Juglans regia,"6","5","2007",Deutschland Namensnennung 2.0,Land Berlin
"416","3269611",Corylus,Baum-Hasel,Corylus colurna,"4","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"417","3269613",Tilia,Winter-Linde,Tilia cordata,"5","10","1985",Deutschland Namensnennung 2.0,Land Berlin
"418","3269636",Acer,Spitz-Ahorn 'Crimson King',Acer platanoides 'Crimson King',"4","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"419","3246281",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"420","3246449",Acer,Berg-Ahorn,Acer pseudoplatanus,"6","7","1998",Deutschland Namensnennung 2.0,Land Berlin
"421","3246555",Populus,Simons Pappel,Populus simonii,"6","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"422","3246633",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"3","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"423","3247827",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,,"12","1986",Deutschland Namensnennung 2.0,Land Berlin
"424","3247833",Quercus,Rot-Eiche,Quercus rubra,"8","25","1981",Deutschland Namensnennung 2.0,Land Berlin
"425","3249533",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"9","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"426","3249534",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"8","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"427","3249714",Acer,Spitz-Ahorn,Acer platanoides,"6","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"428","3249843",Acer,Berg-Ahorn,Acer pseudoplatanus,"7","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"429","3249894",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"6","15","1990",Deutschland Namensnennung 2.0,Land Berlin
"430","3249954",Carpinus,Gewöhnliche Hainbuche,Carpinus betulus,"7","7","1995",Deutschland Namensnennung 2.0,Land Berlin
"431","3250087",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"4","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"432","3250306",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"1.5","7","2001",Deutschland Namensnennung 2.0,Land Berlin
"433","3250823",Gleditsia,Amerikanische Gleditschie,Gleditsia triacanthos,"6","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"434","3251526",Quercus,Stiel-Eiche,Quercus robur,"5","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"435","3254699",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1996",Deutschland Namensnennung 2.0,Land Berlin
"436","3254802",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"10","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"437","3254919",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","12","1993",Deutschland Namensnennung 2.0,Land Berlin
"438","3254992",Acer,Spitz-Ahorn,Acer platanoides,"3","7","1982",Deutschland Namensnennung 2.0,Land Berlin
"439","3255195",Populus,Simons Pappel,Populus simonii,"6","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"440","3255232",Ailanthus,,Ailanthus altissima,"5","12","2000",Deutschland Namensnennung 2.0,Land Berlin
"441","3255233",Ailanthus,,Ailanthus altissima,"4","12","2007",Deutschland Namensnennung 2.0,Land Berlin
"442","2896396",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"8","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"443","2897061",Betula,,Betula pendula,"5","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"444","2897062",Corylus,Baum-Hasel,Corylus colurna,"6","7","1960",Deutschland Namensnennung 2.0,Land Berlin
"445","2897213",Acer,Berg-Ahorn,Acer pseudoplatanus,"6","17","1980",Deutschland Namensnennung 2.0,Land Berlin
"446","2897449",Clematis,,Picea omorika,,"10",,Deutschland Namensnennung 2.0,Land Berlin
"447","2897656",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"8","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"448","2898152",Prunus,Japanische Blütenkirsche,Prunus serrulata,"5","3","1989",Deutschland Namensnennung 2.0,Land Berlin
"449","2898154",Ailanthus,,Ailanthus altissima,"6","12","1989",Deutschland Namensnennung 2.0,Land Berlin
"450","2898952",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"4","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"451","2898954",Acer,Berg-Ahorn,Acer pseudoplatanus,"6","15","1943",Deutschland Namensnennung 2.0,Land Berlin
"452","2898956",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"4","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"453","2898957",Populus,Kanada-Pappel 'Robusta',Populus x canadensis 'Robusta',"4","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"454","2904000",Tilia,Krim-Linde,Tilia euchlora,"6","17","1990",Deutschland Namensnennung 2.0,Land Berlin
"455","2904072",Prunus,Traubenkirsche,Prunus padus,"4","3",,Deutschland Namensnennung 2.0,Land Berlin
"456","2904693",Populus,,Populus x canadensis Hybride,"7","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"457","2904926",Acer,Eschen-Ahorn,Acer negundo,"9","14","1960",Deutschland Namensnennung 2.0,Land Berlin
"458","2905264",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","12",,Deutschland Namensnennung 2.0,Land Berlin
"459","2905506",Acer,Berg-Ahorn,Acer pseudoplatanus,"3","7",,Deutschland Namensnennung 2.0,Land Berlin
"460","2905509",Acer,Berg-Ahorn,Acer pseudoplatanus,"3","12",,Deutschland Namensnennung 2.0,Land Berlin
"461","2905646",Quercus,Stiel-Eiche,Quercus robur,"6","20",,Deutschland Namensnennung 2.0,Land Berlin
"462","2565449",Cornus,Kornelkirsche,Cornus mas,"5","6",,GeoNutzV,Land Berlin
"463","3250531",Populus,Berliner Pappel,Populus berolinensis,"10","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"464","3250825",Gleditsia,Amerikanische Gleditschie,Gleditsia triacanthos,"5","15","1982",Deutschland Namensnennung 2.0,Land Berlin
"465","3251517",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","3","2014",Deutschland Namensnennung 2.0,Land Berlin
"466","3251846",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"4","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"467","3252454",Corylus,Baum-Hasel,Corylus colurna,"5","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"468","3253319",Populus,Kanada-Pappel,Populus canadensis,,"12","1995",Deutschland Namensnennung 2.0,Land Berlin
"469","3254741",Betula,,Betula pendula,"10","20","1965",Deutschland Namensnennung 2.0,Land Berlin
"470","3254804",Tilia,Krim-Linde,Tilia euchlora,"8","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"471","3254907",Populus,,Populus x canadensis Hybride,"12","20","1970",Deutschland Namensnennung 2.0,Land Berlin
"472","3254910",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1996",Deutschland Namensnennung 2.0,Land Berlin
"473","3255194",Populus,Simons Pappel,Populus simonii,"8","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"474","3255198",Quercus,,Platanus acerifolia,"5","20","1965",Deutschland Namensnennung 2.0,Land Berlin
"475","3256063",Tilia,Sommer-Linde,Tilia platyphyllos,"7","12","1997",Deutschland Namensnennung 2.0,Land Berlin
"476","3256344",Acer,Eschen-Ahorn,Acer negundo,"10","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"477","3256382",Quercus,Rot-Eiche,Quercus rubra,"8","25","1970",Deutschland Namensnennung 2.0,Land Berlin
"478","3256741",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"6","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"479","3258267",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"480","3258297",Ulmus,Flatter-Ulme,Ulmus laevis,"10","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"481","3258298",Tilia,Winter-Linde,Tilia cordata,"8","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"482","3258359",Tilia,Silber-Linde,Tilia tomentosa,"18","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"483","3258616",Acer,Eschen-Ahorn,Acer negundo,"6","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"484","3259011",Acer,Eschen-Ahorn,Acer negundo,,"12","1997",Deutschland Namensnennung 2.0,Land Berlin
"485","3259014",Quercus,Rot-Eiche,Quercus rubra,"3","20","2003",Deutschland Namensnennung 2.0,Land Berlin
"486","3259235",Populus,,Populus x canadensis Hybride,"10","17","1970",Deutschland Namensnennung 2.0,Land Berlin
"487","3259388",Acer,Spitz-Ahorn,Acer platanoides,,"10","2005",Deutschland Namensnennung 2.0,Land Berlin
"488","3260117",Acer,Berg-Ahorn,Acer pseudoplatanus,"3","7","2003",Deutschland Namensnennung 2.0,Land Berlin
"489","3260397",Acer,Spitz-Ahorn,Acer platanoides,"4","18","2000",Deutschland Namensnennung 2.0,Land Berlin
"490","3260644",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"5","10","1987",Deutschland Namensnennung 2.0,Land Berlin
"491","3260852",Quercus,Rot-Eiche,Quercus rubra,"12","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"492","3261003",Acer,Berg-Ahorn,Acer pseudoplatanus,"2.5","5","1994",Deutschland Namensnennung 2.0,Land Berlin
"493","3261035",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"8","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"494","3261036",Betula,,Betula pendula,"8","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"495","3261040",Quercus,Stiel-Eiche,Quercus robur,"5","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"496","3261102",Betula,,Betula pendula,"8","17","1980",Deutschland Namensnennung 2.0,Land Berlin
"497","3261383",Populus,Simons Pappel,Populus simonii,"7","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"498","3261384",Populus,Simons Pappel,Populus simonii,"7","27","1965",Deutschland Namensnennung 2.0,Land Berlin
"499","3261386",Populus,Simons Pappel,Populus simonii,"7","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"500","3261728",Populus,Berliner Pappel,Populus berolinensis,"6","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"501","3262133",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"502","3262731",Acer,Berg-Ahorn,Acer pseudoplatanus,"11","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"503","3262857",Populus,Simons Pappel,Populus simonii,"6","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"504","3263760",Acer,Spitz-Ahorn,Acer platanoides,"12","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"505","3264054",Acer,Spitz-Ahorn,Acer platanoides,"3","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"506","3264433",Corylus,Baum-Hasel,Corylus colurna,"4","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"507","3266572",Quercus,Stiel-Eiche,Quercus robur,"7","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"508","3267956",Acer,Eschen-Ahorn,Acer negundo,"4","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"509","3267957",Quercus,Stiel-Eiche,Quercus robur,"8","20","1961",Deutschland Namensnennung 2.0,Land Berlin
"510","3267959",Quercus,Rot-Eiche,Quercus rubra,"1.5","5","2011",Deutschland Namensnennung 2.0,Land Berlin
"511","3268117",Quercus,Stiel-Eiche,Quercus robur,"7","17","1985",Deutschland Namensnennung 2.0,Land Berlin
"512","3268228",Populus,Simons Pappel,Populus simonii,"9","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"513","3268458",Populus,Simons Pappel,Populus simonii,"7","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"514","3269498",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"515","3267871",Liquidambar,Amerikanischer Amberbaum,Liquidambar styraciflua,,"5","2014",Deutschland Namensnennung 2.0,Land Berlin
"516","3067648",Tilia,Winter-Linde,Tilia cordata,"4","7","2002",Deutschland Namensnennung 2.0,Land Berlin
"517","3179684",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"518","3183010",Quercus,,Platanus acerifolia,"4","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"519","3183011",Quercus,,Platanus acerifolia,"5","7","1993",Deutschland Namensnennung 2.0,Land Berlin
"520","3183472",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"5","7","1996",Deutschland Namensnennung 2.0,Land Berlin
"521","3184886",Acer,Spitz-Ahorn,Acer platanoides,"12","17","1930",Deutschland Namensnennung 2.0,Land Berlin
"522","3217886",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"523","3218383",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"524","3224857",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"11","17","1940",Deutschland Namensnennung 2.0,Land Berlin
"525","3235980",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"10","12","1960",Deutschland Namensnennung 2.0,Land Berlin
"526","3237171",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","12","1993",Deutschland Namensnennung 2.0,Land Berlin
"527","3239568",Magnolia,Kobushi-Magnolie,Magnolia kobus,"1","7","2013",Deutschland Namensnennung 2.0,Land Berlin
"528","3239665",Corylus,Baum-Hasel,Corylus colurna,"4","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"529","3239674",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","7","1985",Deutschland Namensnennung 2.0,Land Berlin
"530","3241388",Ailanthus,,Ailanthus altissima,"6","17","1989",Deutschland Namensnennung 2.0,Land Berlin
"531","3241389",Quercus,Stiel-Eiche,Quercus robur,,"20","1985",Deutschland Namensnennung 2.0,Land Berlin
"532","3241885",Tilia,,Tilia americana,"5","15","1990",Deutschland Namensnennung 2.0,Land Berlin
"533","3241929",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"8","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"534","3241930",Malus,Holz-Apfel,Pinus sylvestris,"6","12","1970",Deutschland Namensnennung 2.0,Land Berlin
"535","3242051",Acer,Spitz-Ahorn,Acer platanoides,"4","10","1972",Deutschland Namensnennung 2.0,Land Berlin
"536","3242204",Populus,Simons Pappel,Populus simonii,"6","17","1982",Deutschland Namensnennung 2.0,Land Berlin
"537","3242863",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"4","7","2002",Deutschland Namensnennung 2.0,Land Berlin
"538","3243860",Tilia,Holländische Linde 'Pallida',Tilia intermedia 'Pallida',"4","10","1987",Deutschland Namensnennung 2.0,Land Berlin
"539","3244316",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"3","20","2003",Deutschland Namensnennung 2.0,Land Berlin
"540","3245205",Acer,Berg-Ahorn,Acer pseudoplatanus,"8","7","1965",Deutschland Namensnennung 2.0,Land Berlin
"541","3245399",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"2","3","2014",Deutschland Namensnennung 2.0,Land Berlin
"542","3246280",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"6","12","1990",Deutschland Namensnennung 2.0,Land Berlin
"543","3246447",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","7","1965",Deutschland Namensnennung 2.0,Land Berlin
"544","3247829",Quercus,Rot-Eiche,Quercus rubra,"5","17","1989",Deutschland Namensnennung 2.0,Land Berlin
"545","3247830",Quercus,Stiel-Eiche,Quercus robur,"1.5","7","2003",Deutschland Namensnennung 2.0,Land Berlin
"546","3249715",Acer,Spitz-Ahorn,Acer platanoides,"6","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"547","3249762",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","10","1972",Deutschland Namensnennung 2.0,Land Berlin
"548","3250011",Tilia,Sommer-Linde,Tilia platyphyllos,"6","17","1995",Deutschland Namensnennung 2.0,Land Berlin
"549","3251632",Quercus,,Platanus acerifolia,"9","20","1965",Deutschland Namensnennung 2.0,Land Berlin
"550","3251633",Quercus,,Platanus acerifolia,"9","20","1965",Deutschland Namensnennung 2.0,Land Berlin
"551","3252097",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","15","1990",Deutschland Namensnennung 2.0,Land Berlin
"552","3252460",Aesculus,Gewöhnliche Rosskastanie,Aesculus hippocastanum,"5","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"553","3253457",Populus,Kanada-Pappel,Populus canadensis,"8","27","1939",Deutschland Namensnennung 2.0,Land Berlin
"554","3256292",Populus,,Populus spec.,"8","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"555","3256380",Quercus,Rot-Eiche,Quercus rubra,"8","25","1958",Deutschland Namensnennung 2.0,Land Berlin
"556","3256739",Betula,,Betula pendula,"8","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"557","3258271",Acer,Spitz-Ahorn,Acer platanoides,"6","12","1985",Deutschland Namensnennung 2.0,Land Berlin
"558","3258910",Acer,Spitz-Ahorn,Acer platanoides,"4","12","1996",Deutschland Namensnennung 2.0,Land Berlin
"559","3258912",Acer,Spitz-Ahorn,Acer platanoides,,"17","1986",Deutschland Namensnennung 2.0,Land Berlin
